REC_TYPE,YEAR,MONTH,SECTOR,DISTRICT,CENSUS_BLOCK_NO,HOUSEHOLD_SAMPLE_NO,HOUSEHOLD_NO,HOUSEHOLD_SERIAL_NO,Q43_PERSON_SERIAL_NO,Q43_EXPECT_MINIMUM_SALARY,Q44_HOW_LONG_LOOKING_JOB,Q45_FORMAL_TRAINING,Q46B1_TRAINING_FIELD_1ST,Q46C1_NATURE_CERTIFICATE_1ST,Q46D1_INSTITUTION_1ST,Q46E1_DURATION_1ST,Q46B2_TRAINING_FIELD_2ND,Q46C2_NATURE_CERTIFICATE_2ND,Q46D2_INSTITUTION_2ND,Q46E2_DURATION_2ND
11,2012,12,2,12,153,06,1,036,01,15000,1,2,   , ,  ,  ,   , ,  ,  
11,2012,12,2,12,153,09,1,039,03,12000,1,2,   , ,  ,  ,   , ,  ,  
11,2012,12,2,12,154,08,1,048,03,25000,1,1,861,1,29,06,   , ,  ,  
11,2012,12,2,12,156,08,1,068,02,15000,2,2,   , ,  ,  ,   , ,  ,  
11,2012,12,2,12,159,07,1,097,03,15000,1,1,718,2,06,06,931,2,05,06
11,2012,12,2,12,166,02,1,162,03,10000,2,1,718,1,44,06,861,1,28,06
11,2012,12,2,12,166,02,1,162,04,10000,3,1,718,1,44,06,861,1,28,06
11,2012,04,2,13,002,06,1,017,03,10000,3,2,   , ,  ,  ,   , ,  ,  
11,2012,04,2,13,002,07,1,018,03,25000,3,1,218,1,46,06,   , ,  ,  
11,2012,04,2,13,006,04,1,055,02,35000,1,2,   , ,  ,  ,   , ,  ,  
11,2012,04,2,13,006,10,1,061,02,25000,1,2,   , ,  ,  ,   , ,  ,  
11,2012,04,2,13,006,10,1,061,03,30000,1,2,   , ,  ,  ,   , ,  ,  
11,2012,04,1,13,007,09,1,072,09,20000,2,2,   , ,  ,  ,   , ,  ,  
11,2012,05,2,13,012,05,1,015,03,12000,2,2,   , ,  ,  ,   , ,  ,  
11,2012,05,2,13,018,08,1,078,03,08000,3,1,854,1,01,06,   , ,  ,  
11,2012,05,2,13,019,10,1,090,03,06000,2,1,323,1,43,24,   , ,  ,  
11,2012,06,2,13,023,09,1,019,04,20000,3,2,   , ,  ,  ,   , ,  ,  
11,2012,06,2,13,024,09,1,029,03,10000,2,1,719,1,25,03,   , ,  ,  
11,2012,06,2,13,024,10,1,030,04,10000,2,2,   , ,  ,  ,   , ,  ,  
11,2012,06,1,13,027,05,1,045,02,08000,2,2,   , ,  ,  ,   , ,  ,  
11,2012,06,2,13,029,05,1,065,06,18000,2,2,   , ,  ,  ,   , ,  ,  
11,2012,06,2,13,030,07,1,077,03,65000,2,2,   , ,  ,  ,   , ,  ,  
11,2012,06,2,13,031,09,1,089,03,15000,1,1,719,1,25,06,   , ,  ,  
11,2012,07,2,13,034,08,1,030,03,25000,2,1,217,1,46,99,   , ,  ,  
11,2012,07,2,13,034,09,1,031,02,25000,3,2,   , ,  ,  ,   , ,  ,  
11,2012,07,2,13,035,01,1,093,03,12000,2,2,   , ,  ,  ,   , ,  ,  
11,2012,07,2,13,035,01,1,093,04,12000,2,2,   , ,  ,  ,   , ,  ,  
11,2012,07,2,13,035,01,1,093,05,10000,1,2,   , ,  ,  ,   , ,  ,  
11,2012,07,2,13,035,01,1,093,06,10000,1,2,   , ,  ,  ,   , ,  ,  
11,2012,07,2,13,036,02,1,064,02,15000,1,2,   , ,  ,  ,   , ,  ,  
11,2012,07,2,13,037,09,1,061,03,15000,3,2,   , ,  ,  ,   , ,  ,  
11,2012,07,2,13,039,01,1,073,03,20000,2,2,   , ,  ,  ,   , ,  ,  
11,2012,07,2,13,039,08,1,080,03,30000,2,2,   , ,  ,  ,   , ,  ,  
11,2012,07,3,13,040,07,1,017,03,15000,1,2,   , ,  ,  ,   , ,  ,  
11,2012,07,3,13,040,07,1,017,04,15000,1,2,   , ,  ,  ,   , ,  ,  
11,2012,07,2,13,041,04,1,004,03,20000,1,2,   , ,  ,  ,   , ,  ,  
11,2012,07,2,13,042,02,1,104,04,20000,3,2,   , ,  ,  ,   , ,  ,  
11,2012,08,2,13,046,03,1,063,03,08000,2,2,   , ,  ,  ,   , ,  ,  
11,2012,08,2,13,048,03,1,033,04,20000,3,2,   , ,  ,  ,   , ,  ,  
11,2012,08,2,13,048,09,1,039,03,20000,3,1,856,1,46,12,   , ,  ,  
11,2012,08,2,13,050,09,1,079,02,20000,1,2,   , ,  ,  ,   , ,  ,  
11,2012,08,2,13,050,10,1,080,01,15000,1,2,   , ,  ,  ,   , ,  ,  
11,2012,08,2,13,051,04,1,044,03,30000,1,1,719,2,45,12,719,2,01,12
11,2012,09,2,13,053,05,1,025,03,10000,3,2,   , ,  ,  ,   , ,  ,  
11,2012,09,1,13,056,06,1,066,03,08000,1,2,   , ,  ,  ,   , ,  ,  
11,2012,09,1,13,056,07,1,067,02,10000,2,2,   , ,  ,  ,   , ,  ,  
11,2012,09,2,13,059,02,1,072,03,08000,1,1,854,1,01,06,   , ,  ,  
11,2012,09,2,13,060,02,1,102,05,16000,3,1,719,1,45,99,   , ,  ,  
11,2012,09,2,13,060,04,1,104,02,04000,3,2,   , ,  ,  ,   , ,  ,  
11,2012,09,2,13,060,04,1,104,05,18000,1,2,   , ,  ,  ,   , ,  ,  
11,2012,09,2,13,060,05,1,105,03,20000,1,2,   , ,  ,  ,   , ,  ,  
11,2012,10,2,13,067,08,1,069,03,10000,1,1,122,1,03,06,   , ,  ,  
11,2012,10,3,13,069,10,1,101,05,10000,1,2,   , ,  ,  ,   , ,  ,  
11,2012,11,1,13,080,05,1,066,03,15000,1,2,   , ,  ,  ,   , ,  ,  
11,2012,11,2,13,081,01,1,051,06,12000,1,1,719,1,38,06,   , ,  ,  
11,2012,11,2,13,082,07,1,098,05,25000,2,2,   , ,  ,  ,   , ,  ,  
11,2012,11,2,13,083,03,1,043,03,20000,2,2,   , ,  ,  ,   , ,  ,  
11,2012,12,2,13,087,10,1,081,04,20000,1,2,   , ,  ,  ,   , ,  ,  
11,2012,12,2,13,090,10,1,060,01,06000,1,2,   , ,  ,  ,   , ,  ,  
11,2012,12,2,13,093,05,1,035,03,10000,1,1,718,1,25,03,   , ,  ,  
11,2012,05,2,21,018,08,2,100,02,75000,3,2,   , ,  ,  ,   , ,  ,  
11,2012,05,2,21,019,07,1,018,03,20000,2,2,   , ,  ,  ,   , ,  ,  
11,2012,05,2,21,019,08,1,019,01,10000,3,1,122,1,46,24,   , ,  ,  
11,2012,05,2,21,022,02,1,115,02,10000,2,2,   , ,  ,  ,   , ,  ,  
11,2012,05,2,21,022,04,1,117,03,00001,2,1,719,1,25,06,   , ,  ,  
11,2012,05,2,21,022,05,1,118,02,06000,3,1,871,1,46,06,   , ,  ,  
11,2012,05,2,21,022,06,1,119,01,20000,1,2,   , ,  ,  ,   , ,  ,  
11,2012,05,2,21,022,06,1,119,02,10000,2,1,122,1,46,06,   , ,  ,  
11,2012,05,1,21,023,03,1,024,03,20000,3,2,   , ,  ,  ,   , ,  ,  
11,2012,05,1,21,023,07,1,028,03,18000,3,2,   , ,  ,  ,   , ,  ,  
11,2012,05,2,21,024,03,1,034,03,17000,2,2,   , ,  ,  ,   , ,  ,  
11,2012,05,3,21,028,06,1,057,03,10000,3,2,   , ,  ,  ,   , ,  ,  
11,2012,05,2,21,032,06,1,139,03,18000,2,1,931,2,46,12,   , ,  ,  
11,2012,06,2,21,039,01,1,052,04,10000,2,2,   , ,  ,  ,   , ,  ,  
11,2012,06,2,21,039,01,1,052,06,12000,2,2,   , ,  ,  ,   , ,  ,  
11,2012,06,2,21,039,03,1,054,01,15000,3,1,719,2,01,12,   , ,  ,  
11,2012,06,1,21,040,01,1,032,03,30000,2,2,   , ,  ,  ,   , ,  ,  
11,2012,06,1,21,040,08,1,039,03,18000,2,2,   , ,  ,  ,   , ,  ,  
11,2012,06,2,21,043,02,1,114,03,12000,1,2,   , ,  ,  ,   , ,  ,  
11,2012,06,2,21,045,02,1,094,03,20000,2,2,   , ,  ,  ,   , ,  ,  
