REC_TYPE,YEAR,MONTH,SECTOR,DISTRICT,CENSUS_BLOCK_NO,HOUSEHOLD_SAMPLE_NO,HOUSEHOLD_NO,HOUSEHOLD_SERIAL_NO,Q47_PERSON_SERIAL_NO,Q47_WHY_NOT_FORMAL_TRAINING,Q48_ENGEGED_WORK,Q49_MAIN_ACTIVITY_PERFORMED,Q50_PREVIOUS_EMPLOYMENT
12,2012,10,3,13,069,10,1,101,05,2,2,    , 
12,2012,11,1,13,080,05,1,066,03,9,2,    , 
12,2012,11,2,13,081,01,1,051,06, ,1,1227,1
12,2012,11,2,13,082,07,1,098,05,1,2,    , 
12,2012,11,2,13,083,03,1,043,03,1,2,    , 
12,2012,12,2,13,087,10,1,081,04,9,2,    , 
12,2012,12,2,13,090,10,1,060,01,3,1,9211,1
12,2012,12,2,13,093,05,1,035,03,6,2,    , 
12,2012,05,2,21,018,08,2,100,02,2,1,9132,1
12,2012,05,2,21,019,07,1,018,03,6,1,7435,1
12,2012,05,2,21,019,08,1,019,01, ,1,7433,1
12,2012,05,2,21,022,02,1,115,02,9,1,7313,1
12,2012,05,2,21,022,04,1,117,03, ,2,    , 
12,2012,05,2,21,022,05,1,118,02, ,2,    , 
12,2012,05,2,21,022,06,1,119,01,2,1,8322,1
12,2012,05,2,21,022,06,1,119,02, ,1,7432,1
12,2012,05,1,21,023,07,1,028,03,9,2,    , 
12,2012,05,2,21,024,03,1,034,03,3,2,    , 
12,2012,05,3,21,028,06,1,057,03,2,2,    , 
12,2012,05,2,21,032,06,1,139,03, ,2,    , 
12,2012,06,2,21,039,01,1,052,04,9,2,    , 
12,2012,06,2,21,039,01,1,052,06,9,2,    , 
12,2012,06,2,21,039,03,1,054,01, ,1,4115,1
12,2012,06,1,21,040,01,1,032,03,2,2,    , 
12,2012,06,1,21,040,08,1,039,03,1,2,    , 
12,2012,06,2,21,043,02,1,114,03,3,2,    , 
12,2012,06,2,21,045,02,1,094,03,1,2,    , 
12,2012,07,2,21,049,06,1,006,03,1,2,    , 
12,2012,07,2,21,050,06,1,016,10,1,2,    , 
12,2012,07,2,21,051,05,1,025,04, ,2,    , 
12,2012,07,3,21,052,10,1,040,04,9,1,9131,1
12,2012,07,2,21,054,02,1,052,02,9,2,    , 
12,2012,07,2,21,054,03,1,053,02,2,1,7135,1
12,2012,07,2,21,054,05,1,055,02,2,1,8151,1
12,2012,07,2,21,055,02,1,062,03, ,2,    , 
12,2012,07,2,21,055,04,1,064,02, ,1,8283,1
12,2012,07,2,21,055,05,1,065,03, ,2,    , 
12,2012,07,2,21,055,06,1,066,02,2,2,    , 
12,2012,07,2,21,055,08,1,068,01,2,1,7435,1
12,2012,07,2,21,057,02,1,163,03,9,2,    , 
12,2012,07,1,21,060,04,1,084,02, ,2,    , 
12,2012,07,2,21,063,05,1,125,04, ,2,    , 
12,2012,07,2,21,064,01,1,131,03, ,2,    , 
12,2012,08,1,21,068,04,1,024,01,1,2,    , 
12,2012,08,2,21,069,03,1,033,03,1,1,7433,1
12,2012,08,2,21,072,01,1,061,01,2,1,7433,1
12,2012,08,2,21,072,03,1,063,03, ,1,2331,1
12,2012,08,2,21,072,10,1,070,02,9,1,8263,1
12,2012,08,2,21,075,03,1,094,05,9,2,    , 
12,2012,08,2,21,076,01,1,101,03,2,2,    , 
12,2012,08,2,21,080,04,1,144,03,2,2,    , 
12,2012,09,2,21,085,05,1,025,03,9,1,5220,1
12,2012,09,2,21,085,07,1,027,03,1,2,    , 
12,2012,09,2,21,089,02,1,052,02,2,1,9131,1
12,2012,09,2,21,089,09,1,059,02, ,2,    , 
12,2012,09,2,21,092,05,1,085,04,1,2,    , 
12,2012,09,2,21,095,02,1,114,02, ,2,    , 
12,2012,09,2,21,098,07,1,147,03,1,2,    , 
12,2012,10,1,21,102,06,1,036,03,1,1,4115,1
12,2012,10,1,21,102,10,1,040,03,2,1,5220,1
12,2012,10,2,21,104,02,1,052,03,3,2,    , 
12,2012,10,2,21,106,07,1,077,03, ,1,3439,1
12,2012,10,2,21,106,08,1,078,03, ,1,4112,1
12,2012,10,2,21,106,08,1,078,04, ,2,    , 
12,2012,10,2,21,106,10,1,080,01,2,1,5123,3
12,2012,10,2,21,109,06,1,106,04, ,2,    , 
12,2012,10,2,21,110,01,1,111,02,1,2,    , 
12,2012,10,2,21,110,06,1,116,04, ,2,    , 
12,2012,10,2,21,111,03,1,123,05,2,1,6210,1
12,2012,10,2,21,114,03,1,153,03,4,2,    , 
12,2012,10,2,21,114,08,1,158,03,1,2,    , 
12,2012,10,3,21,115,01,1,161,03,2,2,    , 
12,2012,10,3,21,115,01,1,161,05, ,1,7433,1
12,2012,11,2,21,119,02,1,122,02,6,2,    , 
12,2012,11,2,21,119,06,1,126,03, ,2,    , 
12,2012,11,3,21,120,02,1,022,03,2,2,    , 
12,2012,11,3,21,120,04,1,024,01,9,1,9341,1
12,2012,11,3,21,120,05,1,025,01,2,1,8322,1
12,2012,11,3,21,120,10,1,030,03,2,1,8322,1
12,2012,11,2,21,121,01,1,031,02, ,2,    , 
12,2012,11,2,21,121,05,1,035,04,9,1,7432,1
12,2012,11,2,21,121,07,1,037,01,1,1,7433,1
12,2012,11,2,21,121,10,1,040,02,9,2,    , 
12,2012,11,2,21,122,01,1,141,02,2,1,4115,1
12,2012,11,2,21,122,07,1,147,01,2,2,    , 
12,2012,11,2,21,122,07,1,147,02, ,2,    , 
12,2012,11,2,21,122,08,1,148,02, ,1,2321,1
12,2012,11,2,21,124,08,1,058,02,2,1,7433,1
12,2012,11,2,21,127,10,1,080,03, ,2,    , 
12,2012,11,2,21,128,07,1,087,01,9,2,    , 
12,2012,11,1,21,130,04,1,094,03,2,2,    , 
12,2012,11,1,21,130,04,1,094,04,2,2,    , 
12,2012,11,1,21,130,09,1,099,02,1,2,    , 
12,2012,12,2,21,135,01,1,031,03,3,2,    , 
12,2012,12,2,21,137,04,1,044,02, ,1,4115,1
12,2012,12,2,21,137,05,1,045,03, ,2,    , 
12,2012,12,2,21,137,08,1,048,02,4,1,9322,1
