REC_TYPE,YEAR,MONTH,SECTOR,DISTRICT,CENSUS_BLOCK_NO,HOUSEHOLD_SAMPLE_NO,HOUSEHOLD_NO,HOUSEHOLD_SERIAL_NO,Q26_PERSON_SERIAL_NO,Q261_USUALLY_WORK_HOURS,Q262_ACTUALLY_WORK_HOURS,Q27_LIKE_WORK_LONGER_PERIOD,Q28_HOW_LIKE_TO_WORK,Q29_EXTRA_WORKING_HOURS,Q30_READY_WORK_WITHIN_2WEEKS
 7,2012,05,2,11,027,05,1,095,05,48,48, , ,  , 
 7,2012,05,2,11,027,06,1,096,01,35,35, , ,  , 
 7,2012,05,2,11,027,07,1,097,01,45,45, , ,  , 
 7,2012,05,2,11,027,09,1,099,03,60,60, , ,  , 
 7,2012,05,2,11,027,10,1,100,03,50,50, , ,  , 
 7,2012,05,2,11,028,01,1,041,01,60,60, , ,  , 
 7,2012,05,2,11,028,01,1,041,02,42,42, , ,  , 
 7,2012,05,2,11,028,02,1,042,01,50,50, , ,  , 
 7,2012,05,2,11,028,03,1,043,02,20,  ,1,4,25,1
 7,2012,05,2,11,028,03,1,043,03,25,  ,1,4,30,1
 7,2012,05,2,11,028,04,1,044,02,54,45, , ,  , 
 7,2012,05,2,11,028,05,1,045,01,50,50, , ,  , 
 7,2012,05,2,11,028,05,1,045,02,40,40, , ,  , 
 7,2012,05,2,11,028,07,1,047,01,45,40, , ,  , 
 7,2012,05,2,11,028,07,1,047,03,58,58, , ,  , 
 7,2012,05,2,11,028,09,1,049,01,65,65, , ,  , 
 7,2012,05,2,11,028,10,1,050,02,45,45, , ,  , 
 7,2012,05,1,11,029,03,1,083,04,45,50, , ,  , 
 7,2012,05,1,11,029,04,1,084,01,45,60, , ,  , 
 7,2012,05,1,11,029,04,1,084,05,60,60, , ,  , 
 7,2012,05,1,11,029,05,1,085,01,50,20, , ,  , 
 7,2012,05,1,11,029,05,1,085,03,50,60, , ,  , 
 7,2012,05,1,11,029,08,1,088,01,50,50, , ,  , 
 7,2012,05,1,11,029,08,1,088,02,40,48, , ,  , 
 7,2012,05,1,11,029,09,1,089,01,50,30, , ,  , 
