REC_TYPE,YEAR,MONTH,SECTOR,DISTRICT,CENSUS_BLOCK_NO,HOUSEHOLD_SAMPLE_NO,HOUSEHOLD_NO,HOUSEHOLD_SERIAL_NO,P1_PERSON_SERIAL_NO,P3_RELATIONSHIP,P4_SEX,P5_AGE,P6_RACE,P7_RELIGION,P8_MARITAL_STATUS,P9_EDUCATIONAL_ATTAINMENT,P10_CURRENT_EDUCATIONAL,P11_LITERACY_SINHALA,P12_LITERACY_TAMIL,P13_LITERACY_ENGLISH
 2,2010,01,1,11,002,08,1,018,01,1,2,65,9,3,3,19,5,2,2,2
 2,2010,01,1,11,002,09,1,019,01,1,2,65,4,3,3,19,5,2,2,2
 2,2010,01,1,11,002,09,1,019,02,3,1,40,4,3,2,10,5,2,1,2
 2,2010,01,1,11,002,09,1,019,03,5,1,40,4,3,2,05,5,2,1,2
 2,2010,01,1,11,002,09,1,019,04,5,2,24,4,3,1,10,5,1,1,1
 2,2010,01,1,11,002,09,1,019,05,5,2,16,4,3,1,10,1,2,1,1
 2,2010,01,1,11,002,09,1,019,06,5,2,15,4,3,1,09,1,2,1,1
 2,2010,01,1,11,002,09,1,019,07,5,2,06,4,3,1,00,1, , , 
 2,2010,01,1,11,002,09,1,019,08,5,2,04,4,3,1,  , , , , 
 2,2010,01,1,11,003,01,1,021,01,1,1,34,4,3,2,13,5,2,2,1
 2,2010,01,1,11,003,01,1,021,02,2,2,23,4,3,2,13,5,2,2,1
 2,2010,01,1,11,003,01,1,021,03,3,2,01,4,3,1,  , , , , 
 2,2010,01,1,11,003,02,1,022,01,1,1,35,1,1,2,13,5,1,2,2
 2,2010,01,1,11,003,02,1,022,02,2,2,33,1,1,2,13,5,1,2,2
 2,2010,01,1,11,003,02,1,022,03,3,2,06,1,1,1,01,1, , , 
 2,2010,01,1,11,003,02,1,022,04,3,1,02,1,1,1,  , , , , 
 2,2010,01,1,11,003,03,1,023,01,1,2,33,4,3,2,07,5,2,1,2
 2,2010,01,1,11,003,03,1,023,02,2,1,38,4,3,2,19,5,2,2,2
 2,2010,01,1,11,003,03,1,023,03,3,2,09,4,3,1,03,1, , , 
 2,2010,01,1,11,003,03,1,023,04,3,1,01,4,3,1,  , , , , 
 2,2010,01,1,11,003,04,1,024,01,1,2,39,1,1,2,10,5,1,2,2
 2,2010,01,1,11,003,04,1,024,02,3,2,14,1,1,1,08,1,1,2,1
 2,2010,01,1,11,003,04,1,024,03,3,2,10,1,1,1,04,1,1,2,2
 2,2010,01,1,11,003,04,1,024,04,3,1,03,1,1,1,  , , , , 
 2,2010,01,1,11,003,05,1,025,01,1,1,36,2,2,2,19,5,2,2,2
