YEAR,DISTRICT,AGE_CAT,GENDER,COUNT
2016,91,1,2,71338.50356090425
2016,91,2,2,174185.44183405768
2016,91,1,1,64568.0761397666
2016,91,2,1,163689.3271388696
2004,11,2,2,750636.1329999977
2004,11,2,1,857043.9092999976
2004,11,1,3,45059.20069999998
2004,11,3,1,137214.46960000013
2004,11,3,2,142583.82500000013
2004,11,2,3,52700.48269999996
2004,11,1,2,92757.36609999996
2004,11,1,5,18668.142200000006
2004,11,1,1,112710.12100000007
2004,11,2,5,13865.502600000002
2004,12,2,1,894799.8835000052
2004,12,1,2,112526.50640000004
2004,12,3,2,126966.15139999993
2004,12,3,1,121138.89289999998
2004,12,2,2,754484.0005000031
2004,12,1,3,66532.63690000006
2004,12,1,1,109931.94309999992
2004,12,2,3,50837.193899999984
2004,13,3,1,75613.36530000012
2004,13,2,1,441814.1975
2004,13,2,2,401668.0668
2004,13,1,1,61955.77569999997
2004,13,3,2,76071.91280000011
2004,13,2,5,10683.980100000002
2004,13,2,3,28401.163599999996
2004,13,1,3,29113.221300000005
2004,13,1,2,61862.814499999986
2004,21,2,1,428673.7129000026
2004,21,2,2,396353.15790000255
2004,21,3,2,65550.21300000005
2004,21,1,1,74025.57330000009
2004,21,1,2,69405.63390000003
2004,21,1,3,30456.063399999988
2004,21,3,1,65032.02309999996
2004,21,2,3,31334.196399999986
2004,22,2,2,140045.18389999922
2004,22,2,1,149083.36639999878
2004,22,2,3,9605.329200000002
2004,22,1,5,2822.2348000000006
2004,22,1,2,23550.109000000008
2004,22,3,2,19908.011500000008
2004,22,3,1,23901.2592
2004,22,1,1,26738.36860000001
2004,22,2,5,2061.4607
2004,23,3,1,34919.4556
2004,23,3,2,24054.017199999984
2004,23,2,1,268619.35369999864
2004,23,2,2,227257.42239999934
2004,23,1,2,39224.30570000002
2004,23,1,1,43829.565200000005
2004,23,1,3,20990.714699999975
2004,23,2,3,20119.637399999992
2004,31,2,2,352614.077900001
2004,31,2,1,394940.84050000086
2004,31,3,2,74643.41139999997
2004,31,1,5,8979.331300000003
2004,31,3,1,71669.79400000001
2004,31,1,1,58155.86670000002
2004,31,1,2,60150.59210000001
2004,31,1,3,25428.44709999999
2004,32,2,1,308385.46509999945
2004,32,2,2,274929.70359999937
2004,32,3,1,55597.64489999996
2004,32,1,1,52475.33579999995
2004,32,2,5,5243.5507
2004,32,3,2,46619.71289999991
2004,32,1,2,44103.72249999996
2004,32,1,3,22127.897900000004
2004,33,3,1,31078.343999999975
2004,33,2,2,180334.93870000023
2004,33,1,1,34390.64119999997
2004,33,3,2,23527.988099999995
2004,33,2,1,215147.38029999996
2004,33,2,5,1742.3148
2004,33,1,2,37628.34269999999
2004,41,2,1,197511.98599999983
2004,41,2,2,201934.02180000013
2004,41,2,3,17037.071599999992
2004,41,1,1,39844.296100000116
2004,41,3,2,32774.38439999996
2004,41,1,3,15246.487599999999
2004,41,3,1,34963.00680000001
2004,41,1,2,36634.472800000054
2004,41,1,5,1952.6679000000004
2004,43,2,1,51098.44479999983
2004,43,2,2,47966.01459999982
2004,43,1,3,6350.668300000002
2004,43,1,2,10712.874800000005
2004,43,1,1,11847.11460000001
2004,43,3,2,5865.1602
2004,43,3,1,6588.8127
2004,43,2,3,6927.933500000002
2004,51,2,1,159830.1939999999
2004,51,2,2,163430.50169999982
2004,51,2,3,22003.321000000007
2004,51,3,1,17872.422200000008
2004,51,1,3,27342.33110000001
2004,51,1,2,33644.812399999995
2004,51,3,2,16350.947999999999
2004,51,1,5,1422.5472
2004,51,2,5,1283.3337
2004,52,2,1,229817.12560000105
2004,52,2,2,199187.30510000052
2004,52,3,1,24063.4298
2004,52,3,2,15082.063300000003
2004,52,1,1,43605.436599999986
2004,52,1,5,1414.8350999999998
2004,52,1,2,39207.4658
2004,52,1,3,33584.065800000004
2004,52,2,3,29181.704599999983
2004,53,2,1,159509.49849999964
2004,53,2,2,125108.12480000008
2004,53,1,1,31830.739800000003
2004,53,3,2,12778.477699999996
2004,53,1,2,25278.890499999994
2004,53,3,1,22438.552799999994
2004,53,2,3,15857.309099999997
2004,53,1, ,107.1363
2004,61,2,1,630231.3681000007
2004,61,2,2,556478.1052999998
2004,61,1,2,97859.65740000004
2004,61,1,1,96704.63040000004
2004,61,3,1,82782.62940000003
2004,61,3,2,80226.21890000004
2004,61,1,3,45795.11169999994
2004,61,2,3,35702.28379999997
2004,61,2,5,10222.047900000001
2004,62,2,1,307852.4130999996
2004,62,2,2,254753.06420000046
2004,62,1,1,51727.5653
2004,62,3,1,32727.599000000002
2004,62,2,5,5664.9526000000005
2004,62,3,2,29638.302799999994
2004,62,1,2,47597.69220000001
2004,62,1,3,29781.474199999997
2004,71,2,1,297968.1741000001
2004,71,2,2,255896.9100000006
2004,71,1,2,41849.231999999975
2004,71,3,2,27364.880499999985
2004,71,1,3,19997.005200000003
2004,71,3,1,33423.277999999984
2004,71,2,3,21199.961199999987
2004,71,1,1,45510.07349999996
2004,81,2,1,332652.68089999957
2004,81,2,2,297878.20660000097
2004,81,3,1,37973.81119999998
2004,81,1,3,34893.089899999984
2004,81,1,1,66796.36939999998
2004,81,1,2,55579.191299999955
2004,81,2,3,25276.9953
2004,81,3,2,40134.535099999994
2004,81,1,5,3832.218500000001
2004,91,2,1,411405.3161999988
2004,91,2,2,347250.3952999989
2004,91,1,2,68756.20420000004
2004,91,3,1,65168.665100000086
2004,91,1,1,63257.749000000076
2004,91,1,3,26711.3408
2004,91,2,5,8447.432100000002
2004,91,1,5,6079.240899999999
2004,91,2,3,28430.899400000013
2004,91,3,2,51345.02270000002
2004,12,2,5,13453.1554
2004,12,1,5,12222.459
2004,13,2,4,815.3877
2004,13,1,5,11125.797700000003
2004,21,1,5,6239.7072
2004,21,2,5,9479.381499999998
2004,22,1,3,11406.7143
2004,23,2,5,7164.0209
2004,23,1,5,5812.506900000001
2004,31,2,5,10592.295600000001
2004,31,2,3,24317.994900000012
2004,32,2,3,20387.472299999994
2004,32,1,5,6724.249700000001
2004,32,2,4,209.9453
2004,33,2,3,14493.958200000008
2004,33,1,3,20657.707599999998
2004,42,2,1,35765.91509999986
2004,42,2,2,29354.36209999995
2004,42,1,2,6570.545400000003
2004,42,1,1,5899.1723999999995
2004,42,3,1,4687.994800000001
2004,42,3,2,3275.5531
2004,42,2,5,206.76129999999998
2004,42,1,3,5174.714000000003
2004,42,2,3,5664.3417
2004,51,1,1,30978.52839999998
2004,52,1, ,1566.2620000000002
2004,61,1,5,10331.710899999998
2004,61,1, ,2523.5869000000002
2004,62,2,3,23138.2655
2004,62,1,5,4099.8400999999985
2004,62,1,9,197.8313
2004,71,2,5,4181.5896999999995
2004,71,1,5,2947.6891
2004,72,3,2,13446.155400000003
2004,72,2,1,145071.82120000003
2004,72,2,2,120113.61860000037
2004,72,3,1,14379.402700000002
2004,72,1,2,23271.868500000008
2004,72,2,3,8436.4774
2004,72,1,1,21883.32020000001
2004,72,1,5,1306.3378
2004,72,1,3,12307.510100000003
2004,81,2,5,5712.9965
