	MONTH	SECTOR	DISTRICT	PSU_NO	HH_NO	BLANK	RES_1	RES_2	RES_3	TIME_1	TIME_2	TIME_3	QQ4	QQ5	QQ6	P1_SERIAL_NO	P3_RELATION_SHIP_TO_HEAD_OF_HOUS	P4_SEX	P5_AGE	P6_ETHNIC_GROUP	P7_RELIGION	P8_MARRIAL_STATUS	P10_PALCE_OF_BIRTH	P11_EDUCATIONAL_ATTAINMENT_5YEAR	P12_ATTENDANCE_AT_SCHOOL	P13_DID_HAVE_VOC_TECH_TRAINING	TEMP_1	P15_CODE	P16_FOMAL_INFORMAL	P17_DURATION	P18_REASON_FOR_GOING_ABROAD	P19_YEAR_OF_LEAVING	P20_COUNTRY_OF_EMPLOYMENT	P22_OCCUPATION	P23_DURATION	Q2_DID_ANY_WORK	Q3_DID_NOT_ANY_WORK	Q4_PASTWEEK_LOOKING_FOR_JOB	Q5_TAKEN_A_JOB_LASTWEEK	Q6_COULDNOT_WORK_LASTWEEK	Q7_NOT_AVAILABLE_LOOKING_FOR_JOB	Q8_WHY_DID_NOT_WORK	Q9A_INDUSTRY	Q9B_OCCUPATION	Q9C_SECTOR	Q9D_STATUS	Q9E_PAID_DAILY	Q10_SHIFT	Q11Y_HOW_LONG_HAVE_CURRENT_EMOLO	Q11M_HOW_LONG_HAVE_CURRENT_EMOLO	Q12Y_HOW_LONG_WORKING_THIS_OCCUP	Q12M_HOW_LONG_WORKING_THIS_OCCUP	Q13_NUMBER_OF_HOURS_USUALLY_WORK	Q14_NUMBEROF_HOURS_ACTIALLY_WORK	Q16_ASK_REASON	Q17_SECONDARY_WORKED	Q18A_INDUSTRY	Q18B_OCCUPATION	Q18C_SECTOR	Q18D_STATUS	Q19Y_HOW_LONG_ENGEGED_THIS_ACTIV	Q19M_HOW_LONG_ENGEGED_THIS_ACTIV	Q20_NO_OF_HOURS_ACTUALLY_WORKED	Q21_ADDITIONAL_WORK	Q22_LOOKING_FOR_ALTERNATIVE_WORK	Q23_WORK_EXPECT_TO_GET	Q24_LOWEST_WAGE_WOULD_ACCEPT	Q25_AVAILABLE_FOR	Q26_SEARCH_OF_WORK	Q27_HOW_LONG_SEEKING	Q28_SEEKING_EMPLOYMENT	Q29_EVER_HAVE_A_JOB	Q30_WHEN_LAST_TIME_JOB	Q31_WHAT_KIND_OF_WORK	Q32_ASSISTANCE_DURING_PERIED_OF	Q33_DO_ANY_WORK_FOR_PAY_PROFIT	Q34_NO_WEEK_WORKED_IN_EACH_MONTH	Q36_AVAILABLE_FOR_WORK	Q37_LOOKING_FOR_WORK_IN_EACH	Q38_THIS_PERSON_WAS	Q39_MAIN_OCCUPATION	Q40A_MULTIPLY_WAGE_DAYS_WORKED	Q40B_ANY_PAYMENTS_IN_KIND	Q41_EMPLOYER_THE_SECONDARY_ACTIV	Q42A_EARNING_FROM_SECOND_JOB	Q42B_ANY_PAYMENTS_IN_KIND	INFLATION_FACTOR
991	9	2	19	120	33	1	1	 	 	30	  	  	  	  	1	1	1	1	21	1	4	2	19	7	5	2	  	  	 	  	 	    	  	    	  	2	1	 	 	 	 	4	4001	9313	2	1	1	5	3	0	3	0	40	0	4	2	    	    	 	 	  	  	  	1	2	    	    	 	     	  	 	 	 	    	     	1	52	 	  	1	1	2625	2	2	     	 	292.7926
992	9	2	20	297	62	2	1	 	 	60	  	  	  	  	1	2	2	2	45	1	1	2	6	1	5	2	  	  	 	  	 	    	  	    	  	2	1	 	 	 	 	6	130	9211	2	1	1	1	3	0	3	0	30	0	6	2	    	    	 	 	  	  	  	1	2	    	    	 	     	  	 	 	 	    	     	1	28	 	  	1	1	     	 	2	     	 	78.8382
993	9	2	20	297	63	2	4	 	 	1	  	  	  	  	 	  	 	2	34	1	1	2	6	9	5	2	  	  	 	  	 	    	  	    	  	2	1	 	 	 	 	6	111	6111	2	4	 	 	10	0	10	0	30	0	6	2	    	    	 	 	  	  	  	1	2	    	    	 	     	  	 	 	 	    	     	1	26	 	  	1	2	     	 	2	     	 	78.8382
994	9	2	20	297	64	1	1	 	 	45	  	  	  	  	1	1	1	1	38	1	1	2	6	7	5	1	  	  	 	  	 	    	  	    	  	 	1	 	 	 	 	6	111	6111	2	3	 	 	19	0	19	0	30	0	6	1	1	1261	1	1	23	12	0	7	0	    	    	 	     	  	 	 	 	    	     	1	52	 	  	1	2	     	 	2	     	 	78.8382
995	9	2	20	297	64	2	1	 	 	45	  	  	  	  	1	2	2	2	29	1	1	2	6	10	5	2	  	  	 	  	 	    	  	    	  	2	1	 	 	 	 	6	111	6111	2	4	 	 	12	0	12	0	30	0	6	1	1	1261	1	1	24	12	0	2	1	    	    	 	     	  	 	 	 	    	     	1	52	 	  	1	2	     	 	2	     	 	78.8382
996	9	2	20	297	65	1	1	 	 	60	  	  	  	  	1	1	1	2	41	1	1	2	6	1	5	2	  	  	 	  	 	    	  	    	  	2	1	 	 	 	 	6	111	6111	2	4	 	 	17	0	17	0	30	0	6	2	    	    	 	 	  	  	  	1	2	    	    	 	     	  	 	 	 	    	     	1	26	 	  	1	2	     	 	2	     	 	78.8382
997	9	2	20	297	65	2	1	 	 	60	  	  	  	  	1	2	2	1	48	1	1	2	6	19	5	2	  	  	 	  	 	    	  	    	  	2	1	 	 	 	 	6	111	6111	2	3	 	 	17	0	17	0	20	0	6	1	1	3092	1	1	21	17	0	2	5	    	    	 	     	  	 	 	 	    	     	1	36	 	  	1	2	     	 	1	1000	2	78.8382
998	9	2	20	297	66	1	1	 	 	40	  	  	  	  	1	1	1	1	27	1	1	2	6	5	5	2	  	  	 	  	 	    	  	    	  	2	1	 	 	 	 	6	111	6111	2	3	 	 	18	0	18	0	30	0	6	2	    	    	 	 	  	  	  	1	2	    	    	 	     	  	 	 	 	    	     	1	30	 	  	1	2	     	 	2	     	 	78.8382
999	9	2	20	297	66	2	1	 	 	40	  	  	  	  	1	2	2	2	18	1	1	2	17	8	5	2	  	  	 	  	 	    	  	    	  	2	1	 	 	 	 	6	111	6111	2	4	 	 	4	0	4	0	30	0	6	2	    	    	 	 	  	  	  	2	2	    	    	 	     	  	 	 	 	    	     	1	26	 	  	1	2	     	 	2	     	 	78.8382
1000	9	2	20	297	69	1	1	 	 	45	  	  	  	  	1	1	1	1	66	1	1	2	6	5	5	2	  	  	 	  	 	    	  	    	  	2	1	 	 	 	 	6	112	6111	2	3	 	 	45	0	45	0	30	0	6	2	    	    	 	 	  	  	  	1	2	    	    	 	     	  	 	 	 	    	     	1	30	 	  	1	2	     	 	2	     	 	78.8382
