REC_TYPE,YEAR,MONTH,SECTOR,DISTRICT,DS,PSU,HUNO,HHNO,HHSERNO,Q40SERNO,Q40A,Q40B,Q41,Q42,Q43,Q44
 9,2014,03,2,91,09,021,07,1,007,02,25,  ,2, ,  , 
 9,2014,03,2,91,09,021,07,1,007,03,60,60, , ,  , 
 9,2014,03,2,91,09,021,08,1,008,01,40,08, , ,  , 
 9,2014,03,2,91,09,021,08,1,008,03,60,60, , ,  , 
 9,2014,03,2,91,09,021,08,1,008,04,48,48, , ,  , 
 9,2014,03,2,91,09,021,08,1,008,05,60,60, , ,  , 
 9,2014,03,2,91,09,021,10,1,010,01,35,35, , ,  , 
 9,2014,03,2,91,12,022,02,1,022,01,42,42, , ,  , 
 9,2014,03,2,91,12,022,02,1,022,03,42,42, , ,  , 
 9,2014,03,2,91,12,022,03,1,023,02,40,40, , ,  , 
 9,2014,03,2,91,12,022,04,1,024,01,40,40, , ,  , 
 9,2014,03,2,91,12,022,06,1,026,01,42,42, , ,  , 
 9,2014,03,2,91,12,022,07,1,027,01,56,32, , ,  , 
 9,2014,03,2,91,12,022,08,1,028,03,60,60, , ,  , 
 9,2014,03,2,91,12,022,10,1,030,01,40,40, , ,  , 
 9,2014,03,2,91,12,022,10,1,030,04,40,40, , ,  , 
 9,2014,03,2,91,18,023,01,1,031,01,40,40, , ,  , 
 9,2014,03,2,91,18,023,01,1,031,02,48,48, , ,  , 
 9,2014,03,2,91,18,023,02,1,032,01,40,40, , ,  , 
 9,2014,03,2,91,18,023,03,1,033,01,40,40, , ,  , 
 9,2014,03,2,91,18,023,03,1,033,02,40,40, , ,  , 
 9,2014,03,2,91,18,023,03,1,033,03,60,60, , ,  , 
 9,2014,03,2,91,18,023,04,1,034,01,40,40, , ,  , 
 9,2014,03,2,91,18,023,04,1,034,02,40,40, , ,  , 
 9,2014,03,2,91,18,023,04,1,034,03,70,70, , ,  , 
 9,2014,03,2,91,18,023,05,1,035,01,40,40, , ,  , 
 9,2014,03,2,91,18,023,05,1,035,02,35,35, , ,  , 
 9,2014,03,2,91,18,023,07,1,037,01,35,35, , ,  , 
 9,2014,03,2,91,18,023,07,1,037,03,40,40, , ,  , 
 9,2014,03,2,91,18,023,08,1,038,01,40,40, , ,  , 
 9,2014,03,2,91,18,023,09,1,039,01,45,45, , ,  , 
 9,2014,03,2,91,18,023,10,1,040,01,45,45, , ,  , 
 9,2014,03,2,91,18,023,10,1,040,02,40,40, , ,  , 
 9,2014,03,2,91,24,024,01,1,051,01,08,  ,2, ,  , 
 9,2014,03,2,91,24,024,01,1,051,02,06,  ,2, ,  , 
 9,2014,03,2,91,24,024,01,1,051,03,44,44, , ,  , 
 9,2014,03,2,91,24,024,01,1,051,04,48,48, , ,  , 
 9,2014,03,2,91,24,024,02,1,052,01,40,40, , ,  , 
 9,2014,03,2,91,24,024,02,1,052,04,72,72, , ,  , 
 9,2014,03,2,91,24,024,02,1,052,05,42,40, , ,  , 
 9,2014,03,2,91,24,024,03,1,053,01,48,48, , ,  , 
 9,2014,03,2,91,24,024,03,1,053,02,04,  ,2, ,  , 
 9,2014,03,2,91,24,024,03,1,053,03,40,40, , ,  , 
 9,2014,03,2,91,24,024,04,1,054,01,60,60, , ,  , 
 9,2014,03,2,91,24,024,05,1,055,01,48,48, , ,  , 
 9,2014,03,2,91,24,024,05,1,055,02,35,24, , ,  , 
 9,2014,03,2,91,24,024,09,1,059,02,44,46, , ,  , 
 9,2014,03,2,91,30,025,01,1,071,01,42,24,2, ,  , 
 9,2014,03,2,91,30,025,01,1,071,02,24,  ,2, ,  , 
 9,2014,03,2,91,30,025,01,1,071,03,24,  ,2, ,  , 
 9,2014,03,2,91,30,025,02,1,072,01,48,00, , ,  , 
 9,2014,03,2,91,30,025,02,1,072,02,42,42, , ,  , 
 9,2014,03,2,91,30,025,03,1,073,01,56,56, , ,  , 
 9,2014,03,2,91,30,025,04,1,074,02,36,36, , ,  , 
 9,2014,03,2,91,30,025,04,1,074,03,36,36, , ,  , 
 9,2014,03,2,91,30,025,04,1,074,04,56,56, , ,  , 
 9,2014,03,2,91,30,025,04,1,074,05,12,  ,2, ,  , 
 9,2014,03,2,91,30,025,05,1,075,01,56,56, , ,  , 
 9,2014,03,2,91,30,025,05,1,075,02,09,  ,2, ,  , 
 9,2014,03,2,91,30,025,06,1,076,01,56,56, , ,  , 
 9,2014,03,2,91,30,025,06,1,076,02,20,  ,2, ,  , 
 9,2014,03,2,91,30,025,07,1,077,01,36,36, , ,  , 
 9,2014,03,2,91,30,025,07,1,077,02,36,36, , ,  , 
 9,2014,03,2,91,30,025,07,1,077,03,48,48, , ,  , 
 9,2014,03,2,91,30,025,07,1,077,04,48,48, , ,  , 
 9,2014,03,2,91,30,025,07,1,077,05,48,48, , ,  , 
 9,2014,03,2,91,30,025,07,1,077,06,48,48, , ,  , 
 9,2014,03,2,91,30,025,08,1,078,01,42,42, , ,  , 
 9,2014,03,2,91,30,025,08,1,078,02,24,  ,2, ,  , 
 9,2014,03,2,91,30,025,08,1,078,05,56,56, , ,  , 
 9,2014,03,2,91,30,025,09,1,079,01,56,56, , ,  , 
 9,2014,03,2,91,30,025,09,1,079,02,13,  ,2, ,  , 
 9,2014,03,2,91,30,025,10,1,080,01,30,  ,2, ,  , 
 9,2014,03,2,91,30,025,10,1,080,03,48,48, , ,  , 
 9,2014,03,2,91,30,025,10,1,080,04,56,56, , ,  , 
 9,2014,03,2,91,36,026,01,1,041,01,84,84, , ,  , 
 9,2014,03,2,91,36,026,01,1,041,02,42,42, , ,  , 
 9,2014,03,2,91,36,026,02,1,042,01,48,48, , ,  , 
 9,2014,03,2,91,36,026,02,1,042,02,56,56, , ,  , 
 9,2014,03,2,91,36,026,03,1,043,03,48,48, , ,  , 
 9,2014,03,2,91,36,026,06,1,046,01,70,70, , ,  , 
 9,2014,03,2,91,36,026,07,1,047,01,56,56, , ,  , 
 9,2014,03,2,91,36,026,08,1,048,01,63,63, , ,  , 
 9,2014,03,2,91,36,026,09,1,049,01,56,56, , ,  , 
 9,2014,03,2,91,36,026,09,1,049,02,46,46, , ,  , 
 9,2014,03,2,91,36,026,09,1,049,03,56,56, , ,  , 
 9,2014,03,2,91,42,027,01,1,091,01,24,  ,2, ,  , 
 9,2014,03,2,91,42,027,01,1,091,03,30,  ,2, ,  , 
 9,2014,03,2,91,42,027,01,1,091,04,56,20, , ,  , 
 9,2014,03,2,91,42,027,03,1,093,01,50,50, , ,  , 
 9,2014,03,2,91,42,027,05,1,095,01,42,42, , ,  , 
 9,2014,03,2,91,42,027,06,1,096,01,24,  ,2, ,  , 
 9,2014,03,2,91,42,027,07,1,097,01,48,48, , ,  , 
 9,2014,03,2,91,42,027,08,1,098,01,35,21, , ,  , 
 9,2014,03,2,91,42,027,09,1,099,01,40,40, , ,  , 
 9,2014,03,2,91,48,028,01,1,011,01,55,60, , ,  , 
 9,2014,03,2,91,48,028,01,1,011,02,50,50, , ,  , 
 9,2014,03,2,91,48,028,02,1,012,01,50,50, , ,  , 
 9,2014,03,2,91,48,028,02,1,012,02,50,50, , ,  , 
 9,2014,03,2,91,48,028,03,1,013,01,60,00, , ,  , 
 9,2014,03,2,91,48,028,04,1,014,01,50,50, , ,  , 
 9,2014,03,2,91,48,028,06,1,016,01,50,50, , ,  , 
 9,2014,03,2,91,48,028,06,1,016,03,45,45, , ,  , 
 9,2014,03,2,91,48,028,07,1,017,01,30,  ,2, ,  , 
 9,2014,03,2,91,48,028,07,1,017,02,40,50, , ,  , 
 9,2014,03,2,91,48,028,07,1,017,03,45,30, , ,  , 
 9,2014,03,2,91,48,028,09,1,019,01,40,40, , ,  , 
 9,2014,03,2,91,51,029,01,1,061,01,40,40, , ,  , 
 9,2014,03,2,91,51,029,02,1,062,01,60,60, , ,  , 
 9,2014,03,2,91,51,029,03,1,063,01,55,55, , ,  , 
 9,2014,03,2,91,51,029,03,1,063,02,35,35, , ,  , 
 9,2014,03,2,91,51,029,04,1,064,02,40,40, , ,  , 
 9,2014,03,2,91,51,029,04,1,064,03,40,40, , ,  , 
 9,2014,03,2,91,51,029,05,1,065,01,40,40, , ,  , 
 9,2014,03,2,91,51,029,05,1,065,03,40,40, , ,  , 
 9,2014,03,2,91,51,029,06,1,066,01,40,40, , ,  , 
 9,2014,03,2,91,51,029,06,1,066,02,35,35, , ,  , 
 9,2014,03,2,91,51,029,08,1,068,03,40,40, , ,  , 
 9,2014,03,2,62,03,012,01,1,001,01,78,26,2, ,  , 
 9,2014,03,2,62,03,012,01,1,001,02,48,48, , ,  , 
 9,2014,03,2,62,03,012,02,1,002,01,54,54, , ,  , 
 9,2014,03,2,62,03,012,02,1,002,02,48,00, , ,  , 
 9,2014,03,2,62,03,012,02,1,002,03,72,60, , ,  , 
 9,2014,03,2,62,03,012,03,1,003,01,66,66, , ,  , 
 9,2014,03,2,62,03,012,03,1,003,02,48,48, , ,  , 
 9,2014,03,2,62,03,012,03,1,003,03,72,72, , ,  , 
 9,2014,03,2,62,03,012,03,1,003,04,60,60, , ,  , 
 9,2014,03,2,62,03,012,05,1,005,02,60,60, , ,  , 
 9,2014,03,2,62,03,012,07,1,007,01,65,65, , ,  , 
 9,2014,03,2,62,03,012,07,1,007,02,65,65, , ,  , 
 9,2014,03,2,62,03,012,08,1,008,01,54,60, , ,  , 
 9,2014,03,2,62,03,012,08,1,008,02,48,48, , ,  , 
 9,2014,03,2,62,03,012,08,1,008,03,48,48, , ,  , 
 9,2014,03,2,62,03,012,09,1,009,01,48,40, , ,  , 
 9,2014,03,2,62,03,012,10,1,010,02,65,65, , ,  , 
 9,2014,03,2,62,03,012,10,1,010,03,65,65, , ,  , 
 9,2014,03,2,62,15,013,01,1,011,01,60,60, , ,  , 
 9,2014,03,2,62,15,013,02,1,012,01,60,60, , ,  , 
 9,2014,03,2,62,15,013,02,1,012,07,56,56, , ,  , 
 9,2014,03,2,62,15,013,03,1,013,01,70,70, , ,  , 
 9,2014,03,2,62,15,013,03,1,013,02,30,  ,2, ,  , 
 9,2014,03,2,62,15,013,04,1,014,01,30,  ,2, ,  , 
 9,2014,03,2,62,15,013,05,1,015,02,30,  ,2, ,  , 
 9,2014,03,2,62,15,013,07,1,017,01,70,70, , ,  , 
 9,2014,03,2,62,15,013,08,1,018,01,48,48, , ,  , 
 9,2014,03,2,62,15,013,09,1,019,01,56,56, , ,  , 
 9,2014,03,2,62,15,013,10,1,020,01,70,70, , ,  , 
 9,2014,03,2,62,24,014,01,1,021,01,25,  ,2, ,  , 
 9,2014,03,2,62,24,014,01,1,021,02,20,  ,2, ,  , 
 9,2014,03,2,62,24,014,04,1,024,01,30,  ,2, ,  , 
 9,2014,03,2,62,24,014,04,1,024,02,49,10,1,1,10,1
 9,2014,03,2,62,24,014,05,1,025,01,35,35, , ,  , 
 9,2014,03,2,62,24,014,05,1,025,02,21,  ,2, ,  , 
 9,2014,03,2,62,24,014,06,1,026,01,35,35, , ,  , 
 9,2014,03,2,62,24,014,06,1,026,03,42,42, , ,  , 
 9,2014,03,2,62,24,014,07,1,027,01,56,56, , ,  , 
 9,2014,03,2,62,24,014,08,1,028,01,35,35, , ,  , 
 9,2014,03,2,62,24,014,08,1,028,02,35,35, , ,  , 
 9,2014,03,2,62,24,014,10,1,030,01,35,35, , ,  , 
 9,2014,03,2,62,36,015,01,1,031,01,55,20, , ,  , 
 9,2014,03,2,62,36,015,02,1,032,01,66,55, , ,  , 
 9,2014,03,2,62,36,015,02,1,032,04,48,48, , ,  , 
 9,2014,03,2,62,36,015,03,1,033,01,72,72, , ,  , 
 9,2014,03,2,62,36,015,03,1,033,02,66,66, , ,  , 
 9,2014,03,2,62,36,015,03,1,033,05,66,66, , ,  , 
 9,2014,03,2,62,36,015,04,1,034,03,48,40, , ,  , 
 9,2014,03,2,62,36,015,04,1,034,04,48,40, , ,  , 
 9,2014,03,2,62,36,015,05,1,035,01,54,30, , ,  , 
 9,2014,03,2,62,36,015,07,1,037,01,60,60, , ,  , 
 9,2014,03,2,62,36,015,07,1,037,02,28,  ,1,4,42,1
 9,2014,03,2,62,36,015,07,1,037,03,40,40, , ,  , 
 9,2014,03,2,62,36,015,07,1,037,04,70,70, , ,  , 
 9,2014,03,2,62,36,015,08,1,038,01,60,40, , ,  , 
 9,2014,03,2,62,36,015,08,1,038,02,50,50, , ,  , 
 9,2014,03,2,62,36,015,10,1,040,01,60,60, , ,  , 
 9,2014,03,2,62,36,015,10,1,040,03,42,42, , ,  , 
 9,2014,03,2,62,42,016,01,1,041,01,40,40, , ,  , 
 9,2014,03,2,62,42,016,01,1,041,03,40,40, , ,  , 
 9,2014,03,2,62,42,016,03,1,043,02,50,50, , ,  , 
 9,2014,03,2,62,42,016,04,1,044,01,40,40, , ,  , 
 9,2014,03,2,62,42,016,05,1,045,01,50,48, , ,  , 
 9,2014,03,2,62,42,016,06,1,046,01,30,  ,2, ,  , 
 9,2014,03,2,62,42,016,06,1,046,03,30,  ,2, ,  , 
 9,2014,03,2,62,42,016,06,1,046,04,30,  ,2, ,  , 
 9,2014,03,2,62,42,016,08,1,048,02,30,  ,2, ,  , 
 9,2014,03,2,62,42,016,08,1,048,03,30,  ,2, ,  , 
 9,2014,03,2,62,42,016,08,1,048,04,30,  ,2, ,  , 
 9,2014,03,2,62,42,016,09,1,049,01,50,48, , ,  , 
 9,2014,03,2,62,42,016,09,1,049,02,40,40, , ,  , 
 9,2014,03,2,62,42,016,10,1,050,01,50,50, , ,  , 
 9,2014,03,2,62,48,017,02,1,052,01,45,45, , ,  , 
