REC_TYPE,YEAR,MONTH,SECTOR,DISTRICT,DS,PSU,HUNO,HHNO,HHSERNO,Q7SERNO,Q7,Q8,Q9,Q10,Q11,Q12,Q13,Q14
 4,2014,03,2,91,09,021,07,1,007,01,9213,01291,1,2,2,2,2,3
 4,2014,03,2,91,09,021,07,1,007,02,9213,01291,1,2,2,2,2,3
 4,2014,03,2,91,09,021,07,1,007,03,5211,47714,1,1,1,2,2,3
 4,2014,03,2,91,09,021,08,1,008,01,9311,08991,1,2,2,2,2,3
 4,2014,03,2,91,09,021,08,1,008,03,5211,46634,1,2,2,2,2,3
 4,2014,03,2,91,09,021,08,1,008,04,7531,14109,1,1,1,1,1,3
 4,2014,03,2,91,09,021,08,1,008,05,5211,47714,1,2,2,2,2,3
 4,2014,03,2,91,09,021,10,1,010,01,9213,01291,1,2,2,2,2,3
 4,2014,03,2,91,12,022,02,1,022,01,9212,01271,3, , , , , 
 4,2014,03,2,91,12,022,02,1,022,03,9311,08991,1,4, , , , 
 4,2014,03,2,91,12,022,03,1,023,02,9313,41001,1,4, , , , 
 4,2014,03,2,91,12,022,04,1,024,01,9212,01271,3, , , , , 
 4,2014,03,2,91,12,022,06,1,026,01,9213,01291,1,3,2,2,2,3
 4,2014,03,2,91,12,022,07,1,027,01,7116,41001,1,4, , , , 
 4,2014,03,2,91,12,022,08,1,028,03,8323,49222,3, , , , , 
 4,2014,03,2,91,12,022,10,1,030,01,6114,01271,3, , , , , 
 4,2014,03,2,91,12,022,10,1,030,04,9212,01271,4, , , , , 
 4,2014,03,2,91,18,023,01,1,031,01,6114,01271,3, , , , , 
 4,2014,03,2,91,18,023,01,1,031,02,7115,31001,3, , , , , 
 4,2014,03,2,91,18,023,02,1,032,01,6114,01271,3, , , , , 
 4,2014,03,2,91,18,023,03,1,033,01,9629,01271,1,2,1,2,2,3
 4,2014,03,2,91,18,023,03,1,033,02,9629,01271,1,2,1,2,2,3
 4,2014,03,2,91,18,023,03,1,033,03,6114,01271,3, , , , , 
 4,2014,03,2,91,18,023,04,1,034,01,6114,01271,3, , , , , 
 4,2014,03,2,91,18,023,04,1,034,02,6114,01271,4, , , , , 
 4,2014,03,2,91,18,023,04,1,034,03,7116,41001,1,4, , , , 
 4,2014,03,2,91,18,023,05,1,035,01,9629,01271,1,3,1,2,2,3
 4,2014,03,2,91,18,023,05,1,035,02,9212,01271,3, , , , , 
 4,2014,03,2,91,18,023,07,1,037,01,6114,01271,3, , , , , 
 4,2014,03,2,91,18,023,07,1,037,03,6114,01271,3, , , , , 
 4,2014,03,2,91,18,023,08,1,038,01,6114,01271,3, , , , , 
 4,2014,03,2,91,18,023,09,1,039,01,6114,01271,3, , , , , 
 4,2014,03,2,91,18,023,10,1,040,01,6114,01271,3, , , , , 
 4,2014,03,2,91,18,023,10,1,040,02,9212,01271,4, , , , , 
 4,2014,03,2,91,24,024,01,1,051,01,6114,01271,3, , , , , 
 4,2014,03,2,91,24,024,01,1,051,02,9211,01271,4, , , , , 
 4,2014,03,2,91,24,024,01,1,051,03,4132,45101,1,1,1,2,2,3
 4,2014,03,2,91,24,024,01,1,051,04,4132,62020,1,1,1,2,2,3
 4,2014,03,2,91,24,024,02,1,052,01,3315,35103,1,3,2,2,1,2
 4,2014,03,2,91,24,024,02,1,052,04,7412,27201,3, , , , , 
 4,2014,03,2,91,24,024,02,1,052,05,7412,27201,4, , , , , 
 4,2014,03,2,91,24,024,03,1,053,01,8332,49232,1,2,2,2,2,3
 4,2014,03,2,91,24,024,03,1,053,02,9212,01271,3, , , , , 
 4,2014,03,2,91,24,024,03,1,053,03,5211,46308,1,2,2,2,2,3
 4,2014,03,2,91,24,024,04,1,054,01,5151,55101,1,1,1,2,2,3
 4,2014,03,2,91,24,024,05,1,055,01,9213,01291,1,2,2,2,2,3
 4,2014,03,2,91,24,024,05,1,055,02,9211,01271,1,2,2,2,2,3
 4,2014,03,2,91,24,024,09,1,059,02,3122,14109,1,1,1,2,2,3
 4,2014,03,2,91,30,025,01,1,071,01,6114,01271,3, , , , , 
 4,2014,03,2,91,30,025,01,1,071,02,6114,01271,4, , , , , 
