REC_TYPE,YEAR,MONTH,SECTOR,DISTRICT,DS,PSU,HUNO,HHNO,HHSERNO,Q47SERNO,Q47,Q48,Q49A,Q49B,Q49C,Q50
11,2014,03,2,53,06,010,06,1,046,02,2, , , , , 
11,2014,03,2,53,06,010,07,1,047,02,2, , , , , 
11,2014,03,2,53,06,010,08,1,048,02,2, , , , , 
11,2014,03,2,53,06,010,08,1,048,03,2, , , , , 
11,2014,03,2,53,06,010,08,1,048,04,2, , , , , 
11,2014,03,2,53,06,010,09,1,049,02,2, , , , , 
11,2014,03,2,53,21,011,01,1,001,02,2, , , , , 
11,2014,03,2,53,21,011,02,1,002,02,2, , , , , 
11,2014,03,2,53,21,011,02,1,002,03,2, , , , , 
11,2014,03,2,53,21,011,04,1,004,02,2, , , , , 
11,2014,03,2,53,21,011,05,1,005,02,2, , , , , 
11,2014,03,2,53,21,011,06,1,006,01,1,1,5, , , 
11,2014,03,2,53,21,011,07,1,007,02,2, , , , , 
11,2014,03,2,53,21,011,08,1,008,02,2, , , , , 
11,2014,03,2,53,21,011,10,1,010,02,2, , , , , 
11,2014,03,2,53,21,011,10,1,010,03,1,1,1, , , 
11,2014,03,2,53,21,011,10,1,010,04,2, , , , , 
11,2014,03,2,53,21,011,10,1,010,05,2, , , , , 
11,2014,03,2,53,24,012,01,1,021,02,2, , , , , 
11,2014,03,2,53,24,012,01,1,021,03,2, , , , , 
11,2014,03,2,53,24,012,03,1,023,01,2, , , , , 
11,2014,03,2,53,24,012,06,1,026,02,2, , , , , 
11,2014,03,2,53,24,012,06,1,026,04,1,2, , , ,4
11,2014,03,2,53,24,012,07,1,027,01,2, , , , , 
11,2014,03,2,53,24,012,08,1,028,02,2, , , , , 
11,2014,03,2,53,24,012,09,1,029,02,2, , , , , 
11,2014,03,2,53,24,012,10,1,030,02,2, , , , , 
11,2014,03,2,53,33,013,01,1,011,01,2, , , , , 
11,2014,03,2,53,33,013,04,1,014,02,2, , , , , 
11,2014,03,2,53,33,013,06,1,016,02,2, , , , , 
11,2014,03,2,53,33,013,08,1,018,03,2, , , , , 
11,2014,03,2,53,33,013,09,1,019,02,2, , , , , 
