REC_TYPE,YEAR,MONTH,SECTOR,DISTRICT,CENSUS_BLOCK_NO,HOUSEHOLD_SAMPLE_NO,HOUSEHOLD_NO,HOUSEHOLD_SERIAL_NO,Q7_PERSON_SERIAL_NO,Q7_MAIN_ECONAMIC_ACTIVITY,Q8_MAIN_ACTIVITY_PLACE,Q9_STATUS_OF_OCCUPATION,Q10_TYPE_OF_OCCUPATION,Q11_PENSION_CONTRIBUTION,Q12_ENTITILED_PAID_LEAVE,Q13_WORK_SECTOR
04,2006,01,1,11,008,07,1,078,01,1224,1549,1,1,2,1,3
04,2006,01,1,11,008,07,1,078,02,3419,6519,1,1,1,1,3
04,2006,01,1,11,008,08,1,079,01,1224,1549,1,1,1,1,3
04,2006,01,1,11,008,09,1,080,01,1223,9213,1,1,1,1,3
04,2006,01,1,11,008,09,1,080,03,2139,1810,1,1,1,1,3
04,2006,01,1,11,008,09,1,080,04,5133,9500,1,3,3,3,3
04,2006,01,1,11,008,10,1,081,04,3119,6592,1,1,1,1,2
04,2006,01,1,11,008,10,1,081,05,1223,3410,1,1,1,1,3
04,2006,01,1,11,008,10,1,081,07,2332,8532,1,1,1,1,3
04,2006,01,1,11,008,10,1,081,09,5133,9500,1,3,2,3,3
04,2006,01,1,11,009,02,1,083,01,7124,2022,3, , , , 
04,2006,01,1,11,009,03,1,084,02,8322,6022,3, , , , 
04,2006,01,1,11,009,04,1,085,03,3447,7512,1,1,1,1,1
04,2006,01,1,11,009,04,1,085,04,3434,3691,1,1,1,1,3
04,2006,01,1,11,009,06,1,087,01,5122,5520,1,1,4,3,3
04,2006,01,1,11,009,08,1,089,01,7141,4541,3, , , , 
04,2006,01,1,11,009,09,1,090,01,1318,5020,2, , , , 
04,2006,01,1,11,009,10,1,091,01,4121,5010,1,1,1,1,3
04,2006,01,2,11,010,01,1,093,03,1314,5233,3, , , , 
04,2006,01,2,11,010,02,1,094,01,1210,5239,1,1,1,1,3
04,2006,01,2,11,010,02,1,094,02,4121,5239,1,1,1,1,3
