REC_TYPE,YEAR,MONTH,SECTOR,DISTRICT,CENSUS_BLOCK_NO,HOUSEHOLD_SAMPLE_NO,HOUSEHOLD_NO,HOUSEHOLD_SERIAL_NO,Q26_PERSON_SERIAL_NO,Q261_USUALLY_WORK_HOURS,Q262_ACTUALLY_WORK_HOURS,Q27_LIKE_WORK_LONGER_PERIOD,Q28_HOW_LIKE_TO_WORK,Q29_EXTRA_WORKING_HOURS,Q30_READY_WORK_WITHIN_2WEEKS
07,2006,01,2,11,017,07,1,170,01,44,44, , ,  , 
07,2006,01,2,11,017,09,1,172,01,48,48, , ,  , 
07,2006,01,2,11,017,09,1,172,04,70,70, , ,  , 
07,2006,01,2,11,018,01,1,174,02,20,  ,2, ,  , 
07,2006,01,2,11,018,02,1,175,04,72,72, , ,  , 
07,2006,01,2,11,018,04,1,177,01,35,15, , ,  , 
07,2006,01,2,11,018,04,1,177,02,70,00, , ,  , 
07,2006,01,2,11,018,06,1,179,01,48,48, , ,  , 
07,2006,01,2,11,018,06,1,179,02,48,56, , ,  , 
07,2006,01,2,11,018,07,1,180,01,40,48, , ,  , 
07,2006,01,2,11,018,08,1,181,04,84,84, , ,  , 
07,2006,01,2,11,018,08,1,181,05,50,40, , ,  , 
07,2006,01,2,11,018,10,1,183,01,40,40, , ,  , 
07,2006,01,2,11,018,10,1,183,06,40,56, , ,  , 
07,2006,01,1,12,001,01,1,001,01,48,48, , ,  , 
07,2006,01,1,12,001,02,1,002,01,56,56, , ,  , 
07,2006,01,1,12,001,03,1,003,03,60,60, , ,  , 
07,2006,01,1,12,001,03,1,003,04,48,56, , ,  , 
07,2006,01,1,12,001,03,1,003,08,60,60, , ,  , 
07,2006,01,1,12,001,03,1,003,10,60,40, , ,  , 
07,2006,01,1,12,001,06,1,006,01,45,60, , ,  , 
07,2006,01,1,12,001,07,1,007,01,30,  ,2, ,  , 
07,2006,01,1,12,001,07,1,007,02,40,40, , ,  , 
07,2006,01,1,12,001,07,1,007,03,60,70, , ,  , 
07,2006,01,1,12,001,09,1,009,01,48,36, , ,  , 
07,2006,01,1,12,001,09,1,009,02,56,56, , ,  , 
07,2006,01,1,12,001,09,1,009,04,54,72, , ,  , 
07,2006,01,1,12,002,02,1,012,01,66,60, , ,  , 
07,2006,01,1,12,002,03,1,013,01,55,55, , ,  , 
07,2006,01,1,12,002,04,1,014,04,54,27, , ,  , 
07,2006,01,1,12,002,05,1,015,01,72,72, , ,  , 
07,2006,01,1,12,002,06,1,016,01,28,  ,1,3,22,1
07,2006,01,1,12,002,07,1,017,01,60,00, , ,  , 
07,2006,01,1,12,002,07,1,017,03,54,54, , ,  , 
07,2006,01,1,12,002,08,1,018,01,60,60, , ,  , 
07,2006,01,1,12,002,09,1,019,01,48,60, , ,  , 
07,2006,01,1,12,002,09,1,019,04,48,48, , ,  , 
07,2006,01,1,12,002,10,1,020,01,54,36, , ,  , 
07,2006,01,2,12,003,01,1,021,01,48,00, , ,  , 
07,2006,01,2,12,003,01,1,021,03,66,66, , ,  , 
07,2006,01,2,12,003,01,1,021,04,48,24, , ,  , 
07,2006,01,2,12,003,02,1,022,05,60,45, , ,  , 
07,2006,01,2,12,003,03,1,023,04,99,16, , ,  , 
07,2006,01,2,12,003,04,1,024,02,48,48, , ,  , 
07,2006,01,2,12,003,04,1,024,03,48,48, , ,  , 
07,2006,01,2,12,003,05,1,025,02,48,48, , ,  , 
07,2006,01,2,12,003,06,1,026,02,66,33, , ,  , 
07,2006,01,2,12,003,07,1,027,01,48,40, , ,  , 
07,2006,01,2,12,003,07,1,027,02,20,  ,1,2,20,1
07,2006,01,2,12,003,07,1,027,03,99,99, , ,  , 
07,2006,01,2,12,003,07,1,027,04,72,72, , ,  , 
07,2006,01,2,12,003,08,1,028,03,48,48, , ,  , 
07,2006,01,2,12,003,08,1,028,05,99,48, , ,  , 
07,2006,01,2,12,003,08,1,028,06,48,48, , ,  , 
07,2006,01,2,12,003,09,1,029,01,99,99, , ,  , 
07,2006,01,2,12,003,09,1,029,06,64,64, , ,  , 
07,2006,01,2,12,003,09,1,029,07,48,00, , ,  , 
07,2006,01,2,12,003,10,1,030,01,48,48, , ,  , 
07,2006,01,2,12,004,01,1,031,01,40,48, , ,  , 
07,2006,01,2,12,004,01,1,031,02,40,40, , ,  , 
07,2006,01,2,12,004,02,1,032,01,40,48, , ,  , 
07,2006,01,2,12,004,02,1,032,02,40,40, , ,  , 
07,2006,01,2,12,004,03,1,033,01,40,40, , ,  , 
07,2006,01,2,12,004,03,1,033,03,48,48, , ,  , 
07,2006,01,2,12,004,04,1,034,01,40,40, , ,  , 
07,2006,01,2,12,004,04,1,034,03,54,54, , ,  , 
07,2006,01,2,12,004,05,1,035,01,48,48, , ,  , 
07,2006,01,2,12,004,05,1,035,02,48,48, , ,  , 
07,2006,01,2,12,004,06,1,036,01,40,40, , ,  , 
07,2006,01,2,12,004,06,1,036,02,44,44, , ,  , 
07,2006,01,2,12,004,07,1,037,01,44,44, , ,  , 
07,2006,01,2,12,004,08,1,038,03,48,48, , ,  , 
07,2006,01,2,12,004,09,1,039,02,48,48, , ,  , 
07,2006,01,2,12,004,10,1,040,02,35,35, , ,  , 
07,2006,01,2,12,004,10,1,040,04,48,20, , ,  , 
07,2006,01,2,12,005,01,1,041,01,32,  ,2, ,  , 
07,2006,01,2,12,005,02,1,042,01,46,46, , ,  , 
07,2006,01,2,12,005,03,1,043,01,36,36, , ,  , 
07,2006,01,2,12,005,05,1,045,01,24,  ,2, ,  , 
07,2006,01,2,12,005,05,1,045,03,30,  ,1,1,40,1
07,2006,01,2,12,005,06,1,046,01,84,84, , ,  , 
07,2006,01,2,12,005,06,1,046,03,84,84, , ,  , 
07,2006,01,2,12,005,07,1,047,01,72,72, , ,  , 
07,2006,01,2,12,005,08,1,048,02,66,66, , ,  , 
07,2006,01,2,12,005,10,1,050,01,54,54, , ,  , 
07,2006,01,2,12,005,10,1,050,02,54,54, , ,  , 
07,2006,01,2,12,006,02,1,052,02,48,48, , ,  , 
07,2006,01,2,12,006,02,1,052,04,40,40, , ,  , 
07,2006,01,2,12,006,04,1,054,01,48,48, , ,  , 
07,2006,01,2,12,006,06,1,056,03,48,48, , ,  , 
07,2006,01,2,12,006,06,1,056,05,48,40, , ,  , 
07,2006,01,2,12,006,06,1,056,06,48,48, , ,  , 
07,2006,01,2,12,006,07,1,057,01,40,48, , ,  , 
07,2006,01,2,12,006,07,1,057,02,35,35, , ,  , 
07,2006,01,2,12,006,08,1,058,01,20,  ,2, ,  , 
07,2006,01,2,12,006,09,1,059,01,48,48, , ,  , 
07,2006,01,2,12,006,09,1,059,04,48,48, , ,  , 
