REC_TYPE,YEAR,MONTH,SECTOR,DISTRICT,CENSUS_BLOCK_NO,HOUSEHOLD_SAMPLE_NO,HOUSEHOLD_NO,HOUSEHOLD_SERIAL_NO,Q14_PERSON_SERIAL_NO,Q14_REGISTERED_EPF_OR_IRD,Q15_PROPER_ACCOUNTING_SYSTEM,Q16_NO_OF_EMPLOYEES,Q17_NO_OF_HOURS_USEALLY_WORK,Q18_NO_ACTUALLY_WORK_HOURS
05,2006,01,2,11,011,07,1,109,01,2,2,1,48,48
05,2006,01,2,11,011,07,1,109,02,2,2,8,21,21
05,2006,01,2,11,011,08,1,110,01,2,2,1,84,86
05,2006,01,2,11,011,09,1,111,01, , , ,40,40
05,2006,01,2,11,011,09,1,111,02, , , ,30,30
05,2006,01,2,11,011,10,1,112,01,1,1,6,40,40
05,2006,01,2,11,012,01,1,113,01,1,1,4,45,40
05,2006,01,2,11,012,02,1,115,01,2,2,1,56,56
05,2006,01,2,11,012,02,1,115,02,2,2,1,35,35
05,2006,01,2,11,012,02,1,115,03,3,1,5,60,60
05,2006,01,2,11,012,03,1,116,03,2,2,1,90,90
05,2006,01,2,11,012,05,1,118,01, , , ,45,27
05,2006,01,2,11,012,06,1,119,01,2,2,1,45,40
05,2006,01,2,11,012,07,1,120,01,2,2,7,24,12
05,2006,01,2,11,012,08,1,121,01, , , ,60,00
05,2006,01,2,11,012,08,1,121,02,1,1,6,40,00
05,2006,01,2,11,012,09,1,122,01,2,2,7,40,00
05,2006,01,2,11,012,10,1,123,01,2,2,7,20,20
05,2006,01,2,11,013,01,1,124,01, , , ,60,60
05,2006,01,2,11,013,01,1,124,02, , , ,30,30
05,2006,01,2,11,013,02,1,125,02,2,2,1,48,48
05,2006,01,2,11,013,02,1,125,03,1,1,5,45,56
05,2006,01,2,11,013,04,1,127,01, , , ,40,40
05,2006,01,2,11,013,04,1,127,02,1,1,5,45,45
05,2006,01,2,11,013,04,1,127,03,1,1,6,45,45
05,2006,01,2,11,013,04,1,127,04,1,1,6,40,40
05,2006,01,2,11,013,05,1,128,01,2,2,1,56,56
05,2006,01,2,11,013,06,1,129,01,2,2,7,36,36
05,2006,01,2,11,013,06,1,129,03,1,1,6,40,40
05,2006,01,2,11,013,07,1,130,03,1,1,6,40,32
05,2006,01,2,11,013,09,1,132,01,2,2,7,40,32
05,2006,01,2,11,013,09,1,132,03, , , ,40,32
05,2006,01,2,11,013,10,1,133,01,2,2,7,40,56
05,2006,01,2,11,013,10,1,133,03,2,2,8,35,35
05,2006,01,2,11,013,10,1,133,04, , , ,40,40
05,2006,01,2,11,014,01,1,134,01,1,1,4,45,45
05,2006,01,2,11,014,02,1,135,01, , , ,45,45
05,2006,01,2,11,014,03,1,136,01,2,2,1,48,48
05,2006,01,2,11,014,04,1,137,01, , , ,50,50
05,2006,01,2,11,014,04,1,137,02, , , ,35,35
05,2006,01,2,11,014,04,1,137,03,1,1,4,80,80
05,2006,01,2,11,014,05,1,138,01, , , ,72,72
05,2006,01,2,11,014,05,1,138,02,1,1,6,50,50
05,2006,01,2,11,014,06,1,139,01,2,1,2,70,70
05,2006,01,2,11,014,07,1,140,01,2,1,8,35,35
05,2006,01,2,11,014,07,1,140,03,1,1,3,40,40
05,2006,01,2,11,014,07,1,140,04,2,1,8,99,99
05,2006,01,2,11,014,07,1,140,06,2,1,1,50,00
05,2006,01,2,11,014,08,1,141,02,3,1,1,48,48
05,2006,01,2,11,014,08,1,141,03,1,1,5,54,54
05,2006,01,2,11,014,09,1,142,01,2,2,8,35,35
05,2006,01,2,11,014,09,1,142,04,1,1,6,60,60
05,2006,01,2,11,014,09,1,142,07,1,1,5,54,00
05,2006,01,2,11,014,10,1,143,01,2,1,1,70,40
05,2006,01,2,11,015,01,1,144,01, , , ,40,16
05,2006,01,2,11,015,01,1,144,02,2,2,8,10,10
05,2006,01,2,11,015,02,1,145,01,2,2,7,66,66
05,2006,01,2,11,015,03,1,146,01,2,2,7,84,84
05,2006,01,2,11,015,03,1,146,02,2,2,7,10,10
05,2006,01,2,11,015,04,1,147,01,2,2,4,48,48
05,2006,01,2,11,015,04,1,147,02,1,1,6,60,70
05,2006,01,2,11,015,05,1,148,01, , , ,40,99
05,2006,01,2,11,015,05,1,148,02,1,1,6,42,40
05,2006,01,2,11,015,07,1,150,03,2,2,7,30,00
05,2006,01,2,11,015,07,1,150,06,1,1,6,86,32
05,2006,01,2,11,015,08,1,151,01, , , ,56,00
05,2006,01,2,11,015,09,1,152,01,2,2,7,16,48
05,2006,01,2,11,015,10,1,153,01,2,2,8,48,48
05,2006,01,2,11,015,10,1,153,02,2,2,8,12,12
05,2006,01,2,11,016,02,1,155,01,2,2,7,42,42
05,2006,01,2,11,016,02,1,155,02,2,2,7,40,00
05,2006,01,2,11,016,03,1,156,01, , , ,40,48
05,2006,01,2,11,016,04,1,157,01,2,2,7,70,50
05,2006,01,2,11,016,05,1,158,01,2,2,8,40,10
05,2006,01,2,11,016,06,1,161,01,1,1,3,56,56
05,2006,01,2,11,016,06,1,161,02,2,2,8,70,70
05,2006,01,2,11,016,06,1,161,03,1,1,4,44,44
05,2006,01,2,11,016,09,1,162,01,2,2,7,56,56
05,2006,01,2,11,016,09,1,162,02,2,2,7,40,40
05,2006,01,2,11,016,10,1,163,01,1,1,1,99,99
05,2006,01,2,11,017,01,1,164,01,2,2,7,70,70
05,2006,01,2,11,017,01,1,164,02,2,2,7,35,35
05,2006,01,2,11,017,02,1,165,02,1,1,5,48,48
05,2006,01,2,11,017,04,1,167,01, , , ,40,48
05,2006,01,2,11,017,04,1,167,03,1,1,6,48,48
05,2006,01,2,11,017,04,1,167,05,1,1,6,48,48
05,2006,01,2,11,017,04,1,167,07, , , ,40,40
05,2006,01,2,11,017,05,1,168,01,2,3,1,56,56
05,2006,01,2,11,017,05,1,168,02,1,1,6,48,48
05,2006,01,2,11,017,06,1,169,01,1,1,3,49,49
05,2006,01,2,11,017,07,1,170,01, , , ,44,44
05,2006,01,2,11,017,09,1,172,01,1,1,5,48,48
05,2006,01,2,11,017,09,1,172,04,2,2,8,70,70
05,2006,01,2,11,018,01,1,174,02,2,2,1,20,20
05,2006,01,2,11,018,02,1,175,04, , , ,72,72
05,2006,01,2,11,018,04,1,177,01,2,3,1,35,15
05,2006,01,2,11,018,04,1,177,02,3,3,1,70,00
05,2006,01,2,11,018,06,1,179,01,1,1,3,48,48
