REC_TYPE,YEAR,MONTH,SECTOR,DISTRICT,CENSUS_BLOCK_NO,HOUSEHOLD_SAMPLE_NO,HOUSEHOLD_NO,HOUSEHOLD_SERIAL_NO,Q33_PERSON_SERIAL_NO,Q33_EXPECT_A_JOB,Q34_STEPS_TAKEN_FIND_JOB,Q351_STEPS_TAKEN_1ST,Q352_STEPS_TAKEN_2ND,Q353_STEPS_TAKEN_3RD,Q36_REASON_NOT_TAKING_ACTION
09,2008,01,1,11,008,02,1,072,03,2, , , , , 
09,2008,01,1,11,008,02,1,072,04,2, , , , , 
09,2008,01,1,11,008,04,1,074,01,2, , , , , 
09,2008,01,1,11,008,04,1,074,02,2, , , , , 
09,2008,01,1,11,008,04,1,074,04,2, , , , , 
09,2008,01,1,11,008,04,1,074,05,2, , , , , 
09,2008,01,1,11,008,05,1,075,02,2, , , , , 
09,2008,01,1,11,008,05,1,075,03,2, , , , , 
09,2008,01,1,11,008,05,1,075,04,2, , , , , 
09,2008,01,1,11,008,05,1,075,05,2, , , , , 
09,2008,01,1,11,008,05,1,075,06,2, , , , , 
09,2008,01,1,11,008,07,1,077,02,2, , , , , 
09,2008,01,1,11,008,09,1,079,01,2, , , , , 
09,2008,01,1,11,008,09,1,079,02,2, , , , , 
09,2008,01,1,11,008,09,1,079,07,2, , , , , 
09,2008,01,1,11,009,01,1,081,02,2, , , , , 
09,2008,01,1,11,009,01,1,081,03,2, , , , , 
09,2008,01,1,11,009,01,1,081,04,2, , , , , 
09,2008,01,1,11,009,02,1,082,04,2, , , , , 
09,2008,01,1,11,009,02,1,082,05,2, , , , , 
09,2008,01,1,11,009,02,1,083,02,2, , , , , 
09,2008,01,1,11,009,03,1,084,03,2, , , , , 
09,2008,01,1,11,009,03,1,084,04,2, , , , , 
09,2008,01,1,11,009,04,1,085,05,2, , , , , 
09,2008,01,1,11,009,06,1,087,03,1,1,2,4, , 
09,2008,01,1,11,009,07,1,088,02,2, , , , , 
09,2008,01,1,11,009,07,1,088,03,2, , , , , 
09,2008,01,1,11,009,08,1,089,02,2, , , , , 
09,2008,01,1,11,009,09,1,090,01,2, , , , , 
09,2008,01,1,11,009,09,1,090,02,2, , , , , 
